charge_date,store,city,hour,hour_start,hour_end,total_orders,breached_count,breached_rate,is_problem_hour,pileup_count,pileup_flag,avg_or2a,o2a,completed_order_count,cancelled_order_count,rto_order_count,order_projection,slot_name,slot_start,slot_end,slot_type,orginal_size,current_size,booked_size,completed_count,incompleted_count,noshow_count,cancelled_count,orginal_capacity_booked,current_capacity_booked,rider_hours_per_hour,booked_hours_per_hour,man_hour
2026-04-22,STORE_001,Bangalore,19.0,2026-04-22 19:00:00.000,2026-04-22 20:00:00.000,80,7,0.08750000000000000,1,0,0,4.85,14.8625,80,0,0,89.0,Night Slot 1,18:00:00,20:00:00,PEAK,49,49,45,38,4,1,2,0.88,0.88,2466,2580,0.95600775193798449612
2026-04-22,STORE_001,Bangalore,18.0,2026-04-22 18:00:00.000,2026-04-22 19:00:00.000,66,0,0.00000000000000000,0,0,0,0.0,2.303030303030303,64,0,2,67.0,Night Slot 1,18:00:00,20:00:00,PEAK,49,49,45,38,4,1,2,0.88,0.88,2466,2580,0.95600775193798449612
2026-04-22,STORE_001,Bangalore,22.0,2026-04-22 22:00:00.000,2026-04-22 23:00:00.000,37,1,0.02702702702702702,1,0,0,0.35135135135135137,0.0,36,1,0,50.0,Night Slot 3,22:00:00,23:59:00,NON-PEAK,24,24,26,21,1,1,3,0.96,0.96,2588,2737,0.94556083302886371940
2026-04-22,STORE_001,Bangalore,8.0,2026-04-22 08:00:00.000,2026-04-22 09:00:00.000,105,41,0.39047619047619047,1,4,1,103.85714285714286,163.03809523809525,105,0,0,88.0,Morning Slot 3,08:00:00,10:00:00,PEAK,43,43,43,31,10,1,1,0.98,0.98,2221,2520,0.88134920634920634920
2026-04-22,STORE_001,Bangalore,9.0,2026-04-22 09:00:00.000,2026-04-22 10:00:00.000,72,30,0.41666666666666666,1,0,0,59.138888888888886,134.08333333333334,72,0,0,74.0,Morning Slot 3,08:00:00,10:00:00,PEAK,43,43,43,31,10,1,1,0.98,0.98,2221,2520,0.88134920634920634920
2026-04-22,STORE_001,Bangalore,14.0,2026-04-22 14:00:00.000,2026-04-22 15:00:00.000,48,2,0.04166666666666666,1,0,0,0.875,3.8958333333333335,48,0,0,40.0,Afternoon Slot 2,14:00:00,15:00:00,NON-PEAK,19,25,24,20,2,0,2,1.16,0.88,1280,1320,0.96969696969696969696
2026-04-22,STORE_002,Bangalore,17.0,2026-04-22 17:00:00.000,2026-04-22 18:00:00.000,39,0,0.00000000000000000,0,0,0,0.0,0.0,34,5,0,37.0,Evening Slot 2,16:00:00,18:00:00,NON-PEAK,16,31,26,22,4,0,0,1.63,0.84,1403,1560,0.89967948717948717948
2026-04-22,STORE_002,Bangalore,16.0,2026-04-22 16:00:00.000,2026-04-22 17:00:00.000,28,0,0.00000000000000000,0,0,0,0.0,0.0,28,0,0,32.0,Evening Slot 2,16:00:00,18:00:00,NON-PEAK,16,31,26,22,4,0,0,1.63,0.84,1403,1560,0.89967948717948717948
2026-04-22,STORE_003,Bangalore,11.0,2026-04-22 11:00:00.000,2026-04-22 12:00:00.000,59,4,0.06779661016949152,1,0,0,5.033898305084746,62.33898305084746,59,0,0,69.0,Morning Slot 4,10:00:00,12:00:00,PEAK,46,46,31,27,1,0,3,0.61,0.61,1666,1680,0.99166666666666666666
2026-04-22,STORE_003,Bangalore,10.0,2026-04-22 10:00:00.000,2026-04-22 11:00:00.000,76,76,1.00000000000000000,1,9,1,492.9078947368421,655.75,76,0,0,87.0,Morning Slot 4,10:00:00,12:00:00,PEAK,46,46,31,27,1,0,3,0.61,0.61,1666,1680,0.99166666666666666666
